StockCode,StockName,Category
6629,泰金-KY,38
1788,杏昌,22
5278,尚凡*,36
6720,久昌,24
6261,久元,24
5520,力泰,14
4995,晶達,26
6538,倉和,28
4550,長佳,05
8054,安國,24
3324,雙鴻,31
3541,西柏,31
6767,台微醫,22
8937,合騏,20
6603,富強鑫,05
6613,朋億*,31
6654,天正國際,31
8450,霹靂,32
6616,特昇-KY,38
3520,華盈,28
6870,騰雲,36
5439,高技,28
7712,博盛半導體,24
6182,合晶,24
6154,順發,29
3093,港建*,31
2070,精湛,05
4541,晟田,20
4946,辣椒,32
6841,長佳智能,22
8928,鉅明,37
3230,錦明,26
3624,光頡,28
6840,東研信超,31
8938,明安,37
6542,隆中,32
6735,美達科技,31
8107,大億金茂,05
8930,青鋼,10
3467,台灣精材,24
6697,東捷資訊,30
4123,晟德,22
3438,類比科,24
3188,鑫龍騰,14
6721,信實,20
4549,桓達,05
2743,山富,16
1565,精華,22
3294,英濟,28
4707,磐亞,21
4113,聯上,14
3629,地心引力,32
1591,駿吉-KY,05
3083,網龍,32
3122,笙泉,24
1586,和勤,05
6547,高端疫苗,22
1570,力肯,05
8415,大國鋼,10
8076,伍豐,25
6708,天擎,24
6791,虎門科技,30
8047,星雲,31
4126,太醫,22
6292,迅德,28
2740,天蔥,16
3285,微端,31
8155,博智,28
4417,金洲,04
3611,鼎翰,25
3088,艾訊,25
8440,綠電,35
6169,昱泉,32
5355,佳總,28
8087,麗升能源,35
3390,旭軟,28
6643,M31,24
6568,宏觀,24
2937,集雅社,38
6432,今展科,28
3260,威剛,24
8436,大江,22
6855,數泓科,31
2926,誠品生活,32
3303,岱稜,31
3067,全域,31
3211,順達,25
7753,星亞,26
4183,福永生技,22
6234,高僑,26
6163,華電網,27
6425,易發,05
6147,頎邦,24
2221,大甲,20
6126,信音,28
6498,久禾光,26
4931,新盛力,25
3284,太普高,20
6156,松上,28
6922,宸曜,25
6733,博晟生醫,22
8924,大田,37
4433,興采,04
8064,東捷,26
8390,金益鼎,35
5490,同亨,25
6684,安格,24
6187,萬潤,24
3523,迎輝,26
4129,聯合,22
8234,新漢,25
3086,華義,32
7713,威力德生醫,22
6016,康和證,17
4534,慶騰,05
5601,台聯櫃,15
5438,東友,25
6693,廣閎科,24
5206,坤悅,14
9950,萬國通,03
5443,均豪,24
6291,沛亨,24
8099,大世科,30
3663,鑫科,31
3272,東碩,25
5309,系統電,28
6523,達爾膚,22
8908,欣雄,23
4131,浩泰,22
5210,寶碩,30
6227,茂綸,29
2755,揚秦,16
1785,光洋科,31
4953,緯軟,30
8489,三貝德,20
6624,萬年清,35
6021,美好證,17
3484,崧騰,28
5324,士開,14
4760,勤凱,31
6609,瀧澤科,05
3526,凡甲,28
4506,崇友,05
3489,森寶,14
6488,環球晶,24
4198,欣大健康,22
6276,安鈦克,25
3465,進泰電子,31
6170,統振,27
6411,晶焱,24
3597,映興,28
8921,沈氏,20
3207,耀勝,28
6418,詠昇,28
4951,精拓科,24
6125,廣運,26
2065,世豐,10
8176,智捷,27
4561,健椿,05
3531,先益,26
6294,智基,32
8423,保綠-KY,35
3276,宇環,28
5864,致和證,17
5381,合正,28
6576,逸達,22
6856,鑫傳,32
3713,新晶投控,35
4510,高鋒,05
3455,由田,26
5351,鈺創,24
4754,國碳科,21
5220,萬達光電,26
6266,泰詠,28
6265,方土昶,29
6417,韋僑,27
8077,洛碁,16
8942,森鉅,20
1295,生合,02
6747,亨泰光,22
1781,合世,22
5230,雷笛克光學,26
6703,軒郁,22
2726,雅茗-KY,16
