排 行, 股票代號, 股票名稱, 成交張數
"486","8289","泰藝電子","34,972"
"487","6441","廣錠","34,965"
"488","9962","有益鋼鐵","34,690"
"489","3236","千如電機","34,387"
"490","1586","和勤","34,144"
"491","4130","健亞","34,051"
"492","4171","瑞基","33,937"
"493","1336","台翰","33,806"
"494","2734","易飛網","33,251"
"495","8421","旭源","32,881"
"496","4107","邦特生技","32,681"
"497","6228","全譜科技","32,249"
"498","6617","共信-KY","31,964"
"499","2916","滿心企業","31,888"
"500","8477","創業家","31,882"
"501","3567","逸昌","30,896"
"502","6114","久威國際","30,858"
"503","6560","欣普羅","30,538"
"504","3219","倚強科","30,358"
"505","5299","杰力","29,156"
"506","6561","是方","29,068"
"507","6171","大城地產","28,672"
"508","6716","應廣","28,505"
"509","4161","聿新科","28,345"
"510","3093","港建*","28,261"
"511","8433","弘帆","28,252"
"512","6703","軒郁","28,224"
"513","3114","好德科技","28,191"
"514","6727","亞泰金屬","28,017"
"515","8038","長園科","27,823"
"516","4971","IET-KY","27,718"
"517","4550","長佳","27,715"
"518","3628","盈正","27,552"
"519","4173","久裕","27,546"
"520","3709","鑫聯大投控","27,421"
"521","4138","曜亞國際","27,070"
"522","3511","矽瑪科技","26,986"
"523","4120","友華生技","26,926"
"524","8931","大園汽電","26,845"
"525","6651","全宇昕","26,554"
"526","6417","韋僑","26,479"
"527","6432","今展科","26,195"
"528","4506","崇友實業","26,123"
"529","8074","鉅橡","25,942"
"530","5468","凱鈺科技","25,882"
"531","6158","禾昌興業","25,753"
"532","6510","精測","25,739"
"533","4924","欣厚-KY","25,735"
"534","3152","璟德電子","25,567"
"535","5460","同協電子","25,517"
"536","8924","大田精密","25,296"
"537","6612","奈米醫材","25,247"
"538","6465","威潤","25,090"
"539","1565","精華光學","25,082"
"540","3685","元創精密","25,029"
"541","6894","衛司特","24,889"
"542","3713","新晶投控","24,729"
"543","3252","海灣","24,606"
"544","5344","立衛科技","24,603"
"545","5464","霖宏科技","24,474"
"546","6199","天品","23,838"
"547","4432","銘旺實","23,065"
"548","6922","宸曜","23,054"
"549","4804","大略-KY","22,977"
"550","4538","大詠城","22,895"
"551","6693","廣閎科","22,825"
"552","5312","寶島科","22,777"
"553","4995","晶達","22,696"
"554","2643","捷迅","22,656"
"555","8240","華宏新技","22,534"
"556","6637","醫影","22,508"
"557","4905","台聯電訊","22,445"
"558","6523","達爾膚","22,225"
"559","2065","世豐","22,061"
"560","6690","安碁資訊","22,055"
"561","5514","三豐建設","21,764"
"562","4126","太平洋醫","21,567"
"563","6241","易通展","21,342"
"564","8024","佑華微電","21,156"
"565","6246","臺龍電子","21,005"
"566","5487","通泰","20,925"
"567","5321","美而快","20,891"
"568","4728","雙美","20,610"
"569","9951","皇田工業","20,375"
"570","4580","捷流閥業","20,164"
"571","6294","智基科技","20,140"
"572","3556","禾瑞亞","19,825"
"573","6446","藥華藥","19,816"
"574","3541","西柏科技","19,802"
"575","8437","大地-KY","19,793"
"576","5516","雙喜","19,686"
"577","4702","中美實","19,662"
"578","4991","環宇-KY","19,662"
"579","3672","康聯訊","19,395"
"580","6661","威健生技","19,197"
"581","8080","印鉐","18,982"
"582","8450","霹靂","18,896"
"583","8423","保綠-KY","18,343"
"584","3527","聚積","18,329"
"585","3095","及成","18,300"
"586","3272","東碩","18,221"
"587","6240","松崗","18,095"
"588","1268","漢來美食","18,002"
"589","6629","泰金-KY","17,850"
"590","8109","博大科技","17,579"
"591","2729","瓦城","17,547"
"592","6499","益安","17,467"
"593","1580","新麥","17,327"
"594","6953","家碩","16,897"
"595","2754","亞洲藏壽司","16,844"
"596","6123","上奇科技","16,835"
"597","4116","明基醫","16,782"
"598","5604","中連","16,669"
"599","1742","台蠟","16,663"
"600","3611","鼎翰科技","16,385"
"601","4754","國碳科技","16,344"
"602","6130","上亞科技","16,129"
"603","4413","飛寶企業","16,026"
"604","5438","東友","15,804"
"605","9949","琉園","15,800"
"606","6222","上揚科技","15,696"
"607","8929","富堡工業","15,591"
"608","8905","裕國","15,469"
"609","6568","宏觀","15,463"
"610","6903","巨漢","15,370"
"611","8928","鉅明","15,196"
"612","3118","進階","15,143"
"613","5209","新鼎系統","15,077"
"614","8083","瑞穎","14,801"
"615","6291","沛亨半導","14,766"
"616","4735","豪展","14,740"
"617","6588","東典光電","14,722"
"618","4527","方土霖","14,508"
"619","4183","福永生技","14,465"
"620","3570","大塚資訊","14,424"
"621","6169","昱泉國際","14,419"
"622","6752","叡揚","14,354"
"623","3646","艾恩特","14,293"
"624","6556","勝品","14,272"
"625","1777","生泰合成","14,225"
"626","4923","力士","14,205"
"627","8435","鉅邁","14,156"
"628","2719","燦星旅","13,851"
